Depth(m) Vp(km/s) Vs(km/s) density(gm/cc) gr nphi impedance(kg/(m^2*s))
2086.6 2.307 0.904 2.269 94.247 0.42 5234.58
2086.7 2.3 0.894 2.274 88.184 0.411 5230.2
2086.9 2.296 0.894 2.269 85.986 0.386 5209.62
2087 2.292 0.893 2.254 84.74 0.401 5166.17
2087.2 2.312 0.861 2.237 88.431 0.425 5171.94
2087.3 2.33 0.906 2.237 92.717 0.436 5212.21
2087.5 2.348 0.917 2.235 97.153 0.442 5247.78
2087.6 2.343 0.917 2.233 102.83 0.446 5231.92
2087.8 2.348 0.922 2.225 103.86 0.452 5224.3
2087.9 2.352 0.932 2.231 99.881 0.447 5247.31
2088.1 2.38 0.94 2.239 91.094 0.417 5328.82
2088.2 2.396 0.944 2.25 83.853 0.411 5391
2088.4 2.394 0.943 2.253 80.584 0.407 5393.68
2088.5 2.389 0.943 2.242 80.487 0.415 5356.14
2088.7 2.405 0.944 2.233 80.665 0.412 5370.37
2088.8 2.402 0.942 2.228 86.341 0.414 5351.66
2089 2.385 0.938 2.223 88.957 0.409 5301.86
2089.1 2.374 0.93 2.225 91.869 0.411 5282.15
2089.3 2.356 0.93 2.23 87.508 0.409 5253.88
2089.5 2.341 0.917 2.23 89.945 0.417 5220.43
2089.6 2.338 0.91 2.232 87.808 0.408 5218.42
2089.8 2.334 0.902 2.241 89.539 0.414 5230.49
2089.9 2.325 0.905 2.238 85.534 0.402 5203.35
2090.1 2.313 0.905 2.231 87.885 0.401 5160.3
2090.2 2.327 0.912 2.235 88.055 0.421 5200.85
2090.4 2.32 0.92 2.245 91.633 0.445 5208.4
2090.5 2.321 0.922 2.255 92.362 0.456 5233.86
2090.7 2.325 0.918 2.256 96.658 0.43 5245.2
2090.8 2.327 0.915 2.261 99.528 0.405 5261.35
2091 2.329 0.915 2.258 104.7 0.384 5258.88
2091.1 2.329 0.913 2.257 107.74 0.379 5256.55
2091.3 2.339 0.931 2.247 107.25 0.388 5255.73
2091.4 2.352 0.942 2.238 104.75 0.396 5263.78
2091.6 2.378 0.942 2.228 101.3 0.396 5298.18
2091.7 2.374 0.942 2.238 99.456 0.413 5313.01
2091.9 2.376 0.958 2.256 96.147 0.428 5360.26
2092 2.377 0.957 2.27 94.147 0.429 5395.79
2092.2 2.388 0.959 2.273 95.71 0.398 5427.92
2092.3 2.385 0.987 2.266 101.45 0.368 5404.41
2092.5 2.375 0.987 2.262 101.7 0.372 5372.25
2092.7 2.381 0.982 2.267 98.351 0.383 5397.73
2092.8 2.386 0.982 2.268 91.44 0.402 5411.45
2093 2.374 0.957 2.269 87.204 0.404 5386.61
2093.1 2.344 0.943 2.264 83.672 0.415 5306.82
2093.3 2.331 0.939 2.262 83.651 0.398 5272.72
2093.4 2.342 0.939 2.255 84.635 0.38 5281.21
2093.6 2.348 0.951 2.253 90.135 0.368 5290.04
2093.7 2.349 0.953 2.252 90.617 0.38 5289.95
2093.9 2.346 0.953 2.241 92.519 0.403 5257.39
2094 2.353 0.905 2.244 90.036 0.413 5280.13
2094.2 2.34 0.905 2.268 88.549 0.424 5307.12
2094.3 2.337 0.941 2.281 87.587 0.414 5330.7
2094.5 2.327 0.923 2.279 87.246 0.424 5303.23
2094.6 2.325 0.929 2.26 88.661 0.424 5254.5
2094.8 2.332 0.954 2.253 88.664 0.421 5254
2094.9 2.357 0.925 2.25 88.291 0.411 5303.25
2095.1 2.373 0.925 2.259 87.679 0.42 5360.61
2095.2 2.393 0.943 2.265 86.542 0.437 5420.15
2095.4 2.389 0.947 2.292 83.44 0.421 5475.59
2095.5 2.369 0.944 2.325 80.7 0.406 5507.93
2095.7 2.36 0.922 2.332 79.673 0.409 5503.52
2095.9 2.343 0.922 2.31 83.453 0.424 5412.33
2096 2.336 0.923 2.273 86.648 0.428 5309.73
2096.2 2.324 0.903 2.249 88.211 0.404 5226.68
2096.3 2.325 0.903 2.242 87.174 0.433 5212.65
2096.5 2.325 0.904 2.237 86.822 0.436 5201.03
2096.6 2.314 0.899 2.236 89.03 0.446 5174.1
2096.8 2.312 0.899 2.238 91.568 0.41 5174.26
2096.9 2.307 0.904 2.228 96.171 0.406 5140
2097.1 2.318 0.906 2.226 95.094 0.413 5159.87
2097.2 2.336 0.914 2.22 92.705 0.428 5185.92
2097.4 2.343 0.915 2.247 87.702 0.43 5264.72
2097.5 2.323 0.915 2.244 84.252 0.437 5212.81
2097.7 2.308 0.916 2.247 84.266 0.421 5186.08
2097.8 2.307 0.886 2.236 84.106 0.427 5158.45
2098 2.309 0.888 2.245 87.591 0.415 5183.71
2098.1 2.317 0.9 2.244 87.807 0.416 5199.35
2098.3 2.333 0.924 2.238 91.973 0.418 5221.25
2098.4 2.358 0.924 2.238 95.218 0.443 5277.2
2098.6 2.366 0.929 2.244 98.321 0.464 5309.3
2098.7 2.368 0.933 2.248 97.537 0.455 5323.26
2098.9 2.373 0.987 2.254 92.839 0.428 5348.74
2099.1 2.374 0.989 2.265 91.23 0.423 5377.11
2099.2 2.382 0.989 2.286 88.756 0.408 5445.25
2099.4 2.373 0.961 2.284 88.939 0.404 5419.93
2099.5 2.372 0.95 2.278 87.871 0.377 5403.42
2099.7 2.374 0.941 2.267 87.23 0.391 5381.86
2099.8 2.374 0.944 2.263 87.509 0.393 5372.36
2100 2.365 0.948 2.261 88.774 0.409 5347.27
2100.1 2.38 0.948 2.256 91.598 0.412 5369.28
2100.3 2.386 0.943 2.258 94.374 0.424 5387.59
2100.4 2.386 0.944 2.262 94.231 0.431 5397.13
2100.6 2.394 0.989 2.275 92.638 0.418 5446.35
2100.7 2.372 0.984 2.285 92.462 0.406 5420.02
2100.9 2.362 0.984 2.289 92.675 0.414 5406.62
2101 2.36 0.981 2.282 96.884 0.416 5385.52
2101.2 2.372 0.974 2.266 96.704 0.429 5374.95
2101.3 2.38 0.978 2.26 99.703 0.422 5378.8
2101.5 2.388 1.008 2.255 96.436 0.446 5384.94
2101.6 2.413 1.008 2.255 94.051 0.426 5441.32
2101.8 2.433 1.015 2.253 90.481 0.397 5481.55
2101.9 2.43 0.995 2.263 89.334 0.377 5499.09
2102.1 2.416 0.987 2.268 88.85 0.391 5479.49
2102.3 2.4 1.009 2.28 86.804 0.408 5472
2102.4 2.38 0.986 2.29 86.138 0.406 5450.2
2102.6 2.368 0.986 2.286 86.87 0.411 5413.25
2102.7 2.349 0.985 2.263 87.971 0.409 5315.79
2102.9 2.35 0.984 2.24 86.831 0.422 5264
2103 2.353 0.985 2.224 89.115 0.424 5233.07
2103.2 2.358 0.931 2.225 87.93 0.423 5246.55
2103.3 2.365 0.931 2.246 89.196 0.4 5311.79
2103.5 2.369 0.982 2.269 88.101 0.386 5375.26
2103.6 2.366 0.973 2.281 88.32 0.402 5396.85
2103.8 2.356 0.974 2.269 91.801 0.422 5345.76
2103.9 2.352 0.98 2.249 91.625 0.432 5289.65
2104.1 2.353 0.962 2.243 96.088 0.434 5277.78
2104.2 2.348 0.962 2.26 92.137 0.427 5306.48
2104.4 2.344 0.961 2.281 90.925 0.432 5346.66
2104.5 2.346 0.955 2.275 89.32 0.425 5337.15
2104.7 2.357 0.956 2.258 90.02 0.428 5322.11
2104.8 2.366 0.966 2.244 91.661 0.433 5309.3
2105 2.381 0.966 2.239 92.477 0.433 5331.06
2143.2 2.515 1.034 2.268 85.741 0.467 5704.02
2143.4 2.488 1 2.284 91.238 0.46 5682.59
2143.6 2.535 0.993 2.294 90.118 0.459 5815.29
2143.7 2.549 0.969 2.288 90.405 0.449 5832.11
2143.9 2.48 0.952 2.299 87.152 0.431 5701.52
2144 2.461 0.914 2.302 85.193 0.403 5665.22
2144.2 2.413 0.966 2.286 84.214 0.389 5516.12
2144.3 2.362 0.968 2.282 85.633 0.38 5390.08
2144.5 2.342 0.934 2.271 88.091 0.373 5318.68
2144.6 2.419 1.045 2.258 88.715 0.411 5462.1
2144.8 2.457 1.099 2.253 91.052 0.423 5535.62
2144.9 2.442 0.999 2.272 91.211 0.436 5548.22
2145.1 2.452 0.974 2.281 92.187 0.428 5593.01
2145.2 2.432 0.978 2.277 86.885 0.426 5537.66
2145.4 2.397 0.986 2.28 85.173 0.436 5465.16
2145.5 2.431 0.983 2.275 83.288 0.454 5530.53
2145.7 2.474 0.954 2.267 86.543 0.451 5608.56
2145.8 2.522 0.984 2.275 84.174 0.455 5737.55
2146 2.57 0.984 2.285 85.651 0.444 5872.45
2146.1 2.576 1.048 2.296 85.548 0.445 5914.5
2146.3 2.573 1.086 2.306 86.582 0.461 5933.34
2146.5 2.579 1.06 2.308 83.832 0.436 5952.33
2146.6 2.519 1.106 2.307 83.044 0.434 5811.33
2146.8 2.493 1.106 2.308 82.104 0.394 5753.84
2146.9 2.484 1.104 2.314 83.453 0.388 5747.98
2147.1 2.482 1.138 2.312 81.109 0.346 5738.38
2147.2 2.493 1.074 2.287 82.512 0.348 5701.49
2147.4 2.465 1.028 2.286 82.734 0.358 5634.99
2147.5 2.529 1.008 2.289 88.181 0.407 5788.88
2147.7 2.534 1.006 2.282 90.445 0.438 5782.59
2147.8 2.548 1.007 2.297 95.458 0.453 5852.76
2148 2.519 1.056 2.298 92.235 0.412 5788.66
2148.1 2.497 1.041 2.301 86.545 0.389 5745.6
2148.3 2.452 1.027 2.295 80.578 0.371 5627.34
2148.4 2.475 1.027 2.29 77.129 0.372 5667.75
2148.6 2.407 1.021 2.28 83.051 0.389 5487.96
2148.7 2.447 1.041 2.285 88.607 0.388 5591.4
2148.9 2.607 1.071 2.269 95.042 0.419 5915.28
2149 2.577 1.03 2.278 93.029 0.417 5870.41
2149.2 2.596 1.03 2.315 91.644 0.431 6009.74
2149.3 2.615 1.079 2.308 85.873 0.418 6035.42
2149.5 2.562 0.966 2.312 80.125 0.414 5923.34
2149.7 2.412 0.943 2.317 73.65 0.427 5588.6
2149.8 2.341 0.944 2.305 75.266 0.438 5396.01
2150 2.363 0.943 2.27 81.796 0.426 5364.01
2150.1 2.375 0.932 2.253 86.304 0.38 5350.88
2150.3 2.388 0.949 2.259 86.509 0.365 5394.49
2150.4 2.525 1.015 2.262 88.455 0.389 5711.55
2150.6 2.623 1.012 2.265 89.941 0.442 5941.1
2150.7 2.62 1.011 2.296 89.902 0.467 6015.52
2150.9 2.574 0.959 2.318 84.538 0.466 5966.53
2151 2.436 0.911 2.318 82.703 0.43 5646.65
2151.2 2.411 0.904 2.308 84.984 0.395 5564.59
2151.3 2.459 0.9 2.276 88.459 0.367 5596.68
2151.5 2.503 0.945 2.27 88.201 0.396 5681.81
2151.6 2.474 0.946 2.281 88.646 0.452 5643.19
2151.8 2.583 1.041 2.291 90.559 0.489 5917.65
2151.9 2.611 1.049 2.285 91.129 0.462 5966.14
2152.1 2.607 1.076 2.309 87.318 0.428 6019.56
2152.2 2.582 1.091 2.316 84.748 0.41 5979.91
2152.4 2.529 1.087 2.315 81.9 0.384 5854.64
2152.5 2.497 1.08 2.309 82.502 0.352 5765.57
2152.7 2.516 1.099 2.307 80.48 0.32 5804.41
2152.9 2.478 0.998 2.29 81.295 0.337 5674.62
2153 2.44 0.983 2.294 83.17 0.409 5597.36
2153.2 2.375 0.985 2.286 86.529 0.415 5429.25
2153.3 2.369 0.949 2.277 83.276 0.412 5394.21
2153.5 2.364 0.985 2.262 83.307 0.368 5347.37
2153.6 2.443 0.954 2.26 78.497 0.399 5521.18
2153.8 2.511 1.071 2.259 82.646 0.442 5672.35
2153.9 2.641 1.076 2.277 81.909 0.458 6013.56
2154.1 2.669 1.137 2.194 84.724 0.481 5855.79
